"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"K0565","W","Asus UX32V","mit Ladegerät und Mäppli S/N: PD96235ANH","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","14.12.2018","PD96235ANH","","","","","24.10.2018","nein","0.00","0.00","0.00","Kälin Michael","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006542","W","ASUS UX32V","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.4 kg","","","","","","","","","","30.05.2024","ja","0.00","0.00","0.00","","Asus","320","220","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004248","W","Asus UX32V Notebook pc, 14""","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.5 kg","","","","","","","","","","30.06.2021","ja","0.00","0.00","0.00","","Asus","220","325","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPC-112284","W","ASUS UX330UA Tastatur SF","","","","","","","0","0","Stck","0.00","0.00","97.00","0.00","0.00","0.00","0.00","0 kg","","","","29.09.2020","","","","","","29.09.2020","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"IPC-112284","W","ASUS UX330UA Tastatur SF","","","","","","","0","0","Stck","0.00","0.00","97.00","0.00","0.00","0.00","0.00","0 kg","","","","13.10.2020","","","","","","29.09.2020","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0733","W","ASUS UX330U Notebook PC","S/N: H1N0WU008123018 Mit Laptophülle und Netzteil mit Kabel","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","29.09.2020","H1N0WU008123018","","","","","12.10.2020","nein","0.00","0.00","0.00","Studer Lea","","","","","","","","","","","",""
"K0733","W","ASUS UX330U Notebook PC","S/N: H1N0WU008123018 Mit Laptophülle und Netzteil mit Kabel","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","13.10.2020","H1N0WU008123018","","","","","12.10.2020","nein","0.00","0.00","0.00","Studer Lea","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17081","W","Asus V8420/128M","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.7 kg","","","","","","","","","","11.11.2025","nein","0.00","0.00","0.00","","Asus","170","110","20","","ASUS V8420 TD 128 MB (part number V8420/TD/128M) is a desktop Graphics Processing Unit, based on NVIDIA GeForce4 Ti 4200, and built on 150 nm manufacturing process. The GPU was introduced in February 2002. The card has 260 MHz graphics clock frequency. Furthermore, it has 4 pixel shaders, 4 ROPs, together with 8 texture units. The V8420 TD 128 MB embeds 128 MB of DDR memory. Because the memory is clocked at 275 MHz, and utilizes 128 bit interface, the effective memory bandwidth is 8.8 GB/s. The GPU supports AGP 4x interface, and needs 1 motherboard slot.","","Steckkarten","","Graphikkarte","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004869","W","ASUS V9180 SE","","","","","","","1","0","Stck","0.00","0.00","20.00","20.00","0.00","0.00","0.00","0.2 kg","","","","15.09.2023","","","","","","23.06.2022","ja","0.00","0.00","0.00","","Asus","175","125","25","","","","","","","",""
"","","","","","","","","","","","","","0.00","","20.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000023","W","ASUS V9520/TD","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.15 kg","","","","12.04.2012","","","","","","12.04.2012","ja","0.00","0.00","0.00","","Asus","18.2","10.8","1.7","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005184","W","Asus V9560/TD","","","","","","","1","0","Stck","0.00","0.00","25.00","25.00","0.00","0.00","0.00","0.25 kg","","","","22.05.2025","","","","","","06.01.2023","ja","0.00","0.00","0.00","","Asus","190","125","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","25.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004610","W","Asus VE276","","","","","","","1","0","Stck","0.00","0.00","90.00","90.00","0.00","0.00","0.00","9.2 kg","","","","03.02.2025","","","","","","15.03.2022","ja","0.00","0.00","0.00","","Asus","230","640","440","","","","","","","",""
"","","","","","","","","","","","","","0.00","","90.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7077","W","Asus VE278Q","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.5 kg","","","","","","","","","","02.10.2025","ja","0.00","0.00","0.00","","Asus","643","220","446","","Screen size 27"" Maximum resolution Full HD (1920 x 1080) Brightness 300 cd/m2 Contrast ratio 1000 : 1 Response time 5 ms","","Monitor_Beamer_Kamera","yes","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003990","W","ASUS VE728Q 27"" HDMI, DP, DVI-I, VGA","","","","","","","0","0","Stck","0.00","0.00","80.00","0.00","0.00","0.00","0.00","8.5 kg","","","","28.07.2020","B4LMTF117746","","","","","28.07.2020","ja","0.00","0.00","0.00","","Asus","220","643","446","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002075","W","Asus Vento A2","","","","","","","0","0","Stck","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","460","190","430","","","","","","","",""
"003028","W","Asus Vento A2","","","","","","","0","0","Stck","0.00","0.00","145.00","0.00","0.00","0.00","0.00","12 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","445","190","430","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001627","W","ASUS Vento A2 Core i7 2.93 GHz, 8192 MB RAM, Ati/Radeon EAH6450 Graphikkarte, Festplatten: 1 TB und 500 GB, Midi-Tower","","","","","","","1","0","Stck","0.00","0.00","170.00","170.00","0.00","0.00","0.00","0 kg","","","","31.01.2017","","","","","","31.01.2017","ja","0.00","0.00","0.00","","Asus","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","170.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003112","W","ASUS Vento A2 P5Q-E","","","","","","","1","0","Stck","0.00","0.00","135.00","135.00","0.00","0.00","0.00","11 kg","","","","03.11.2023","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","455","195","435","","","","","","","",""
"","","","","","","","","","","","","","0.00","","135.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0379","W","Asus Vento A8 IntelCore2Duo","Fertig","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","18.08.2017","","","","","","18.08.2017","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0379","W","Asus Vento A8 IntelCore2Duo","Fertig","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","24.08.2017","","","","","","18.08.2017","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002562","W","Asus Vento M2","","","","","","","0","0","Stck","0.00","0.00","55.00","0.00","0.00","0.00","0.00","7 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","400","170","360","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004002","W","ASUS VH242","","","","","","","4","0","Stck","0.00","0.00","120.00","480.00","0.00","0.00","0.00","8.2 kg","","","","06.01.2021","","","","","","15.02.2021","ja","0.00","0.00","0.00","","Asus","220","562","416","","","","","","","",""
"004002","W","ASUS VH242","","","","","","","4","0","Stck","0.00","0.00","96.00","384.00","0.00","0.00","0.00","8.2 kg","","","","25.03.2021","","","","","","15.02.2021","ja","0.00","0.00","0.00","","Asus","220","562","416","","","","","","","",""
"004002","W","ASUS VH242","","","","","","","4","0","Stck","0.00","0.00","60.00","240.00","0.00","0.00","0.00","8.2 kg","","","","15.07.2021","93LMTF028736","","","","","15.02.2021","ja","0.00","0.00","0.00","","Asus","220","562","416","","","","","","","",""
"004002","W","ASUS VH242","","","","","","","4","0","Stck","0.00","0.00","60.00","240.00","0.00","0.00","0.00","8.2 kg","","","","21.03.2022","A3LMIZ062381","","","","","15.02.2021","ja","0.00","0.00","0.00","","Asus","220","562","416","","","","","","","",""
"","","","","","","","","","","","","","0.00","","1'344.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17105","W","Asus VS228H","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.1 kg","","","","","","","","","","11.11.2025","nein","0.00","0.00","0.00","","Asus","510","380","200","","Der ASUS VS228H Full HD LED-Bildschirm bietet mit seinem hohen Kontrastverhältnis von 50.000.000:1 und der HDCP-Unterstützung die höchste Bild- und Farbqualität. Der stabile Standfuß sowie das schlanke Profil fügen sich nahtlos in das elegante Design ein und bieten absolute Zuverlässigkeit und Stabilität.","","Monitor_Beamer_Kamera","","Flachbildschirm","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004286","W","Asus VS247, 24""","","","","","","","2","0","Stck","0.00","0.00","120.00","240.00","0.00","0.00","0.00","6.4 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","Asus","210","560","345","","","","","","","",""
"","","","","","","","","","","","","","0.00","","240.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000802","W","Asus VW192s","Flachbildschirm Asus VW192s","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","4.3 kg","","","","","","","","","","28.01.2014","ja","0.00","0.00","0.00","","Asus","207","458","368","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001240","W","ASUS VW198S","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","4.3 kg","","","","02.06.2018","82LMTN000133","","","","","02.06.2018","ja","0.00","0.00","0.00","","Asus","444.5","210","368.3","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005021","W","Asus VW222U, 22"" HD","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6'800 kg","","","","","","","","","","13.09.2022","ja","0.00","0.00","0.00","","Asus","210","510","405","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004654","W","Asus VW223","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6'800 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","Asus","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003023","W","Asus VW224","","","","","","","1","0","Stck","0.00","0.00","90.00","90.00","0.00","0.00","0.00","6.1 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","508","210","402","","","","","","","",""
"","","","","","","","","","","","","","0.00","","90.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001633","W","ASUS WL-100g","","","","","","","1","0","Stck","0.00","0.00","15.00","15.00","0.00","0.00","0.00","0.044 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","115","55","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","15.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1145","W","ASUS X53U","S/N:C1N0CJ79524801A Netzteil mit dabei","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","14.03.2025","","","","","","14.03.2025","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003787","W","ASUS X79-DULUXE","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","390","195","370","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1168","W","ASUS XG43U","SN: MALMTF254076 inkl. Netzteil","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","24.06.2025","","","","","","24.06.2025","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K1168","W","ASUS XG43U","SN: MALMTF254076 inkl. Netzteil","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","28.11.2025","","","","","","24.06.2025","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1168","W","ASUS XG43U, S/N: MALMTF254076","SN: MALMTF254076 inkl. Netzteil","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","07.08.2025","","","","","","24.06.2025","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17109","W","ASUS XONAR DX/XD/A Dolby Home-Theater-Technology Gaming Sound Card","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.2 kg","","","","","","","","","","11.11.2025","nein","0.00","0.00","0.00","","Asus","180","120","20","","Type / GerätetypSound CardFormfaktorLow-profileInterfaces / Schnittstellen4 x 3.5mm Jacks (Front, Side, Center/Subwoofer, Back)1 x 3.5mm Jack (S/PDIF Out, Line/Mic In)Bus InterfacePCI-Express x1Audio PerformanceInput: 112dB, Output: 116dBFrequency Response<10Hz to 48KHzAudio ProcessorASUS AV100 High-Definition Sound ProcessorDelivery / Lieferumfang1 x Asus Xonar DX Sound Card1 x Power Supply Cable","","Steckkarten","","Multifunktionskarte","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000897","W","ASUS Z7000","","","","","","","0","0","Stck","0.00","0.00","120.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Asus","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1225","W","Asus Zephyrus GA401Q","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","27.01.2026","","","M3NRKD00852409B","","","27.01.2026","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004692","W","Aszs VH242, 23.6""","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7'800 kg","","","","","","","","","","04.05.2022","ja","0.00","0.00","0.00","","Asus","220","560","415","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004923","W","ATA IB-168SK-B, 5.25","","","","","","","3","0","Stck","0.00","0.00","10.00","30.00","0.00","0.00","0.00","300 kg","","","","23.09.2022","","","","","","28.07.2022","ja","0.00","0.00","0.00","","","182","150","43","","","","","","","",""
"","","","","","","","","","","","","","0.00","","30.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004284","W","ATARI, Mouse","","","","","","","1","0","Stck","0.00","0.00","35.00","35.00","0.00","0.00","0.00","0.3 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","","120","63","35","","","","","","","",""
"","","","","","","","","","","","","","0.00","","35.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P59","W","Atari PC5 mit Combo-Diskettenlaufwerk 5.25"" 3.5""","","Computer Occasion","","","","","0","0","Stck","0.00","0.00","200.00","0.00","129.00","0.00","0.00","0 kg","","","","21.06.2023","","","","","","29.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001069","W","Aten 2 Port KVM Switch","","","","","","","2","0","Stck","0.00","0.00","2.00","4.00","0.00","0.00","0.00","0 kg","","","","18.11.2015","","","","","","18.11.2015","ja","0.00","0.00","0.00","","Maxtor","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","4.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002136","W","Aten 2-Port KVM Switch","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.35 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001033","W","Aten CS-1004","","","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","3.3 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","160","485","44","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001049","W","Aten CS-114A","","","","","","","0","0","Stck","0.00","0.00","30.00","0.00","0.00","0.00","0.00","1.97 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","155","223","60","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001480","W","Aten CS-62A","","","","","","","0","0","Stck","0.00","0.00","30.00","0.00","0.00","0.00","0.00","0.56 kg","","","","19.02.2021","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","50","120","25","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005356","W","Aten CS682, KVM Switch","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.3 kg","","","","","","","","","","03.05.2023","ja","0.00","0.00","0.00","","Aten","75","165","235","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005232","W","Aten IC250U, USB 2.0 PCI, 4+1","","","","","","","1","0","Stck","0.00","0.00","15.00","15.00","0.00","0.00","0.00","0.15 kg","","","","30.01.2023","","","","","","28.01.2023","ja","0.00","0.00","0.00","","Aten","135","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","15.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002198","W","Aten Master View CPU Switch CS-102","","","","","","","0","0","Stck","0.00","0.00","15.00","0.00","0.00","0.00","0.00","1.8 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","150","225","55","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002194","W","Aten Master View CS-102U","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.8 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","65","115","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001018","W","Aten Master View CS-102U 2-Port USB KVM Switch","","","","","","","0","0","Stck","0.00","0.00","25.00","0.00","0.00","0.00","0.00","1 kg","","","","","","","","","","26.08.2015","ja","0.00","0.00","0.00","","unbekannt","60","120","50","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002145","W","Aten Master View CS-104","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","3.1 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","180","250","80","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002146","W","Aten Master View CS-104U","","","","","","","0","0","Stck","0.00","0.00","30.00","0.00","0.00","0.00","0.00","2.1 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","150","220","50","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002147","W","Aten Master View CS-114","","","","","","","0","0","Stck","0.00","0.00","25.00","0.00","0.00","0.00","0.00","3.3 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","180","250","80","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002126","W","Aten Master View CS-172","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.7 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","100","130","35","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001019","W","Aten Master View CS1774 4-Port USB KVM Switch","","","","","","","0","0","Stck","0.00","0.00","100.00","0.00","0.00","0.00","0.00","3.5 kg","","","","26.08.2015","","","","","","26.08.2015","ja","0.00","0.00","0.00","","Aten","90","260","70","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002162","W","Aten Master View CS-92","","","","","","","0","0","Stck","0.00","0.00","15.00","0.00","0.00","0.00","0.00","0.8 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","60","120","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002141","W","Aten MasterView KVM","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","","85","260","55","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002164","W","Aten MasterView KVM CS-82A","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.53 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","","85","135","55","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002155","W","Aten MasterView KVM CS-84A","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.37 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","","90","205","50","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006005","W","ATEN USB Externder","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.075 kg","","","","","","","","","","12.10.2023","ja","0.00","0.00","0.00","","Aten","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002120","W","Aten USB KVM Switch","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.17 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","","70","120","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002770","W","Aten VS182","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0.8 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Aten","80","120","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000636","W","AT-FS708 8 Port Ethernet Switch","","","","","","","2","0","Stck","0.00","0.00","15.00","30.00","0.00","0.00","0.00","0.9 kg","","","","28.03.2018","","","","","","28.03.2018","ja","0.00","0.00","0.00","","Allied Telesyn","249","116","36","","","","","","","",""
"","","","","","","","","","","","","","0.00","","30.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9","W","at-fs708 8-port switch Ethernet, plus 2xRJ-45 Kabel","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0 kg","","","","16.10.2017","","","","","","09.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000191","W","AT Gehäuse Microspot mit Netzteil","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0 kg","","","","08.10.2022","","","","","","06.11.2019","ja","0.00","0.00","0.00","","diverse","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000126","W","Athlon MP 2200+ AMSN2200DKT3Camd","","","","","","","10","0","Stck","0.00","0.00","20.00","200.00","0.00","0.00","0.00","0.1 kg","","","","29.08.2017","","","","","","29.08.2017","ja","0.00","0.00","0.00","","AMD","50","50","6","","","","","","","",""
"","","","","","","","","","","","","","0.00","","200.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
