"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","11.10.2016 Kurzeinführung kivitendo Patrick Wiebach und Planung des weiteren Vorgehens","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0 kg","","","","13.12.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","11.10.2016 Kurzeinführung kivitendo Patrick Wiebach und Planung des weiteren Vorgehens","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0 kg","","","","21.12.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","11.10.2019 Besprechung mit Patrick bezüglich Website","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0 kg","","","","31.12.2019","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","11.10. Support in Winterthur, Pendenzen erledigen, Beratung Claudio","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","18.12.2011","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","11.11.2021 Buchhaltungs-Support für Kivitendo siehe E-Mail","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","04.12.2021","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","11.7.2024 Anpassungen bei den Kalenderabfragen","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","24.07.2024","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","11.7.2024 Online Schulung Dispo","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","24.07.2024","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3","D","1:1 Kopie von Festplatte erstellen","","Dienstleistung","","","","","0","0","psch","0.00","0.00","62.00","0.00","0.00","0.00","0.00","0 kg","","","","03.01.2024","","","","","","17.07.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D3","D","1:1 Kopie von Festplatte erstellen","","Dienstleistung","","","","","0","0","psch","0.00","0.00","62.00","0.00","0.00","0.00","0.00","0 kg","","","","08.01.2024","","","","","","17.07.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
